userID,username,password,firstName,lastName,address,balance,role
1,ali123,pass123,Ali,Khan,Karachi,0,Student
2,sara01,pass456,Sara,Ahmed,Lahore,5,Student
3,omar2023,abc321,Omar,Rahman,Islamabad,10,Student
4,zoha77,z77zoha,Zoha,Nasir,Karachi,0,Student
5,hassan55,hass55,Hassan,Ali,Lahore,0,Student
6,ayesha99,ay99,Ayesha,Khan,Islamabad,0,Student
7,faizan01,fai01,Faizan,Shah,Karachi,0,Student
8,junaid22,jun22,Junaid,Raza,Lahore,0,Student
9,samira05,sm05,Samira,Hussain,Karachi,0,Student
10,raheel88,rh88,Raheel,Qureshi,Islamabad,0,Student
11,drfaisal,df123,Faisal,Hameed,Lahore,0,Teacher
12,msamina,ms789,Samina,Shah,Karachi,0,Teacher
13,ahmad02,ah02,Ahmad,Farooq,Lahore,0,Teacher
14,nadia77,nd77,Nadia,Butt,Islamabad,0,Teacher
15,farhan11,fh11,Farhan,Saleem,Karachi,0,Teacher
16,sami55,sm55,Sami,Ali,Lahore,0,Teacher
17,admin1,admin123,Admin,One,Islamabad,0,Admin
18,admin2,admin456,Admin,Two,Lahore,0,Admin
19,admin3,admin789,Admin,Three,Karachi,0,Admin
20,admin4,admin000,Admin,Four,Islamabad,0,Admin
